keith_name,keith_emotion,keith_emotion_strength
keith(465).jpg,sad,0.51
keith(114).jpg,neutral,0.34
keith(333).jpg,angry,0.44
keith(140).jpg,angry,0.72
keith(60).jpg,happy,0.93
keith(401).jpg,angry,0.45
keith(134).jpg,neutral,0.57
keith(12).jpg,happy,0.82
keith(124).jpg,happy,0.44
keith(59).jpg,angry,0.34
keith(397).jpg,happy,0.57
keith(334).jpg,happy,0.96
keith(147).jpg,angry,0.76
keith(281).jpg,angry,0.86
keith(168).jpg,happy,0.64
keith(172).jpg,neutral,0.83
keith(321).jpg,happy,0.97
keith(71).jpg,angry,0.78
keith(197).jpg,angry,0.42
keith(57).jpg,neutral,0.7
keith(416).jpg,neutral,0.68
keith(221).jpg,angry,0.68
keith(43).jpg,happy,0.96
keith(162).jpg,angry,0.34
keith(108).jpg,angry,0.29
keith(278).jpg,angry,0.73
keith(443).jpg,sad,0.55
keith(376).jpg,sad,0.79
keith(65).jpg,happy,0.75
keith(279).jpg,happy,0.98
keith(137).jpg,neutral,0.44
keith(169).jpg,angry,0.6
keith(383).jpg,angry,0.5
keith(46).jpg,neutral,0.76
keith(6).jpg,happy,0.68
keith(322).jpg,sad,0.54
keith(304).jpg,sad,0.62
keith(239).jpg,angry,0.84
keith(17).jpg,neutral,0.49
keith(132).jpg,surprise,0.29
keith(407).jpg,happy,0.74
keith(190).jpg,neutral,0.34
keith(447).jpg,happy,0.97
keith(271).jpg,sad,0.35
keith(117).jpg,neutral,0.4
keith(470).jpg,sad,0.34
keith(325).jpg,angry,0.49
keith(430).jpg,neutral,0.6
keith(311).jpg,neutral,0.77
keith(353).jpg,neutral,0.6
keith(327).jpg,sad,0.56
keith(179).jpg,sad,0.51
keith(253).jpg,angry,0.55
keith(83).jpg,angry,0.86
keith(377).jpg,happy,0.28
keith(324).jpg,happy,0.48
keith(149).jpg,happy,0.9
keith(316).jpg,angry,0.67
keith(293).jpg,happy,0.33
keith(107).jpg,angry,0.51
keith(44).jpg,angry,0.39
keith(226).jpg,happy,0.46
keith(95).jpg,angry,0.44
keith(222).jpg,happy,0.37
keith(51).jpg,neutral,0.51
keith(223).jpg,angry,0.45
keith(111).jpg,angry,0.68
keith(183).jpg,angry,0.7
keith(358).jpg,neutral,0.62
keith(338).jpg,angry,0.83
keith(326).jpg,neutral,0.78
keith(204).jpg,neutral,0.59
keith(121).jpg,neutral,0.32
keith(241).jpg,happy,0.96
keith(64).jpg,angry,0.6
keith(49).jpg,sad,0.41
keith(201).jpg,angry,0.54
keith(81).jpg,happy,0.99
keith(233).jpg,neutral,0.75
keith(272).jpg,happy,0.81
keith(33).jpg,neutral,0.43
keith(301).jpg,neutral,0.75
keith(299).jpg,happy,0.89
keith(229).jpg,happy,0.52
keith(208).jpg,neutral,0.46
keith(352).jpg,angry,0.66
keith(428).jpg,sad,0.32
keith(317).jpg,happy,0.39
keith(339).jpg,happy,1.0
keith(61).jpg,sad,0.29
keith(231).jpg,happy,0.94
keith(203).jpg,neutral,0.45
keith(400).jpg,angry,0.35
keith(439).jpg,happy,0.3
keith(313).jpg,angry,0.86
keith(374).jpg,neutral,0.75
keith(141).jpg,neutral,0.76
keith(72).jpg,neutral,0.63
keith(228).jpg,sad,0.55
keith(232).jpg,angry,0.93
keith(238).jpg,happy,0.7
keith(436).jpg,happy,0.79
keith(267).jpg,angry,0.54
keith(254).jpg,neutral,0.79
keith(177).jpg,sad,0.47
keith(237).jpg,neutral,0.58
keith(25).jpg,neutral,0.47
